kMDItemTitle,Blank Column,Blank Column,Attribute Description,Blank Column,Blank Column,Widget Type,Blank Column,Blank Column,Metadata Attribute Name,Blank Column,Blank Column,Data Type
Latitude,,,Latitude of the item.,,,13,,,kMDItemLatitude,,,0
Longitude,,,Longitude of the item.,,,13,,,kMDItemLongitude,,,0
Where From,,,Describes where the item was obtained from.,,,0,,,kMDItemWhereFroms,,,0
Date Added,,,Added date of the item.,,,8,,,kMDItemDateAdded,,,0
Device Make,,,Manufacturer of the device used to acquire the document contents.,,,0,,,kMDItemAcquisitionMake,,,0
Device Model,,,Model of the device used to acquire the document contents.,,,0,,,kMDItemAcquisitionModel,,,0
Title,,,Title of the item.,,,0,,,kMDItemTitle,,,0
Kind,,,Description of the kind of item this file represents.,,,0,,,kMDItemKind,,,0
File Size,,,"Size, in bytes, of the file on disk.",,,4,,,kMDItemFSSize,,,2
File System File Name,,,File Name of the item.,,,0,,,kMDItemFSName,,,0
Created,,,Date that the contents of the file were created.,,,8,,,kMDItemFSCreationDate,,,0
Modified,,,Date the file contents last changed.,,,8,,,kMDItemFSContentChangeDate,,,0
Duration,,,"The duration, in seconds, of the content of the item.",,,3,,,kMDItemDurationSeconds,,,3
Name,,,Localized version of the file name.,,,0,,,kMDItemDisplayName,,,0
Last Modified Date,,,Date and time when the contents of this item were modified.,,,8,,,kMDItemContentModificationDate,,,0
Created Date,,,The date and time that the content was created.,,,8,,,kMDItemContentCreationDate,,,0
Comment,,,Comments about the item,,,0,,,kMDItemComment,,,0
Album,,,Title for the collection containing this item.,,,0,,,kMDItemAlbum,,,0
Audio Bit Rate,,,Bit rate of the audio in the media.,,,2,,,kMDItemAudioBitRate,,,0
Last Opened Date,,,Date and time that the file was last used.,,,8,,,kMDItemLastUsedDate,,,0
Contents,,,Contains a text representation of the content of the document.,,,7,,,kMDItemTextContent,,,0
Aperture Value,,,Aperture setting used when the image was created.,,,2,,,kMDItemAperture,,,0
Bits Per Sample,,,Number of bits per sample.,,,2,,,kMDItemBitsPerSample,,,0
Color Space,,,Color space model used by the document contents.,,,0,,,kMDItemColorSpace,,,0
Type Identifier,,,Uniform Type Identifier of the file.,,,0,,,kMDItemContentType,,,0
Type Identifier hierarchy,,,Uniform Type Identifier hierarchy of the file.,,,0,,,kMDItemContentTypeTree,,,0
Content Creator,,,Name of the application used to create the document content.,,,0,,,kMDItemCreator,,,0
EXIF Version,,,Version of the EXIF header used to generate the metadata.,,,0,,,kMDItemEXIFVersion,,,0
Exposure Mode,,,Exposure mode used to acquire the document contents.,,,0,,,kMDItemExposureMode,,,0
Exposure Program,,,Type of exposure program used by the camera to acquire the document contents.,,,0,,,kMDItemExposureProgram,,,0
Exposure Time,,,Exposure time used to capture the contents.,,,2,,,kMDItemExposureTimeSeconds,,,0
Flash,,,Whether a camera flash was used to capture the contents.,,,1,,,kMDItemFlashOnOff,,,0
F Number,,,Diameter of the aperture relative to the effective focal length of the lens.,,,2,,,kMDItemFNumber,,,0
Focal Length,,,"Actual focal length of the lens, in millimeters.",,,2,,,kMDItemFocalLength,,,0
File Invisible,,,Whether the file is invisible.,,,11,,,kMDItemFSInvisible,,,0
File Extension Hidden,,,Whether the file extension of the file is hidden.,,,2,,,kMDItemFSIsExtensionHidden,,,0
File System Label,,,Index of the Finder label of the file. ,,,2,,,kMDItemFSLabel,,,0
Number of Items,,,Number of files in a directory.,,,2,,,kMDItemFSNodeCount,,,0
